phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,1.344279,0.235516,0.762322,0.435203,0.326498
warmup,2,0.975123,0.314956,0.73467,0.441779,0.353006
warmup,3,0.87347,0.351745,0.711973,0.462393,0.361598
warmup,4,0.83267,0.370232,0.704196,0.463895,0.366705
warmup,5,0.815569,0.380085,0.696902,0.46493,0.372085
finetune,1,0.72173,0.432035,0.623083,0.494459,0.411313
finetune,2,0.582167,0.517859,0.670265,0.498473,0.395188
finetune,3,0.512421,0.56553,0.657233,0.508127,0.40468
finetune,4,0.463047,0.604939,0.661933,0.518767,0.409354
finetune,5,0.425837,0.634308,0.689708,0.490494,0.398186
finetune,6,0.402998,0.654386,0.676335,0.523372,0.415241
finetune,7,0.394378,0.661716,0.686034,0.516821,0.411601
