phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,1.369685,0.238334,0.911086,0.318491,0.242685
warmup,2,0.987618,0.318515,0.851308,0.353241,0.266839
warmup,3,0.889745,0.351217,0.839596,0.352502,0.277332
warmup,4,0.851412,0.366248,0.82312,0.368683,0.291217
warmup,5,0.838663,0.372495,0.821034,0.367919,0.29139
finetune,1,0.77209,0.408515,0.77673,0.389444,0.319507
finetune,2,0.667789,0.466438,0.69039,0.454266,0.366257
finetune,3,0.618693,0.497521,0.714039,0.427618,0.344331
finetune,4,0.584119,0.521261,0.717274,0.445646,0.348771
finetune,5,0.555825,0.54103,0.670704,0.458748,0.366442
finetune,6,0.530256,0.559229,0.69288,0.477613,0.365622
finetune,7,0.509325,0.574541,0.703631,0.462023,0.366051
finetune,8,0.491757,0.589462,0.692077,0.496306,0.382755
finetune,9,0.47496,0.601956,0.694339,0.508866,0.373989
finetune,10,0.461227,0.6134,0.68794,0.516747,0.393331
finetune,11,0.447309,0.623048,0.725355,0.486676,0.37167
finetune,12,0.439544,0.63092,0.720059,0.489114,0.373437
finetune,13,0.428566,0.639471,0.722151,0.48377,0.370673
finetune,14,0.418388,0.645924,0.736257,0.480667,0.365743
finetune,15,0.413008,0.651286,0.720569,0.491651,0.379705
finetune,16,0.410241,0.654097,0.714703,0.492316,0.384322
finetune,17,0.407827,0.65636,0.72635,0.488499,0.378492
finetune,18,0.404024,0.659206,0.7298,0.49037,0.377403
finetune,19,0.401529,0.661517,0.732145,0.487415,0.376249
finetune,20,0.40035,0.660077,0.730991,0.489262,0.377124
