phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1
warmup,1,1.399846,0.220643,0.909853,0.355433,0.269845
warmup,2,0.990929,0.308366,0.813627,0.389371,0.295238
warmup,3,0.900957,0.339806,0.778723,0.417028,0.313151
warmup,4,0.870026,0.353761,0.77065,0.418579,0.316567
warmup,5,0.859224,0.361859,0.766521,0.418309,0.317987
finetune,1,0.671136,0.474954,0.748713,0.453502,0.341417
finetune,2,0.57042,0.542305,0.629666,0.523274,0.40709
finetune,3,0.519229,0.575014,0.624592,0.528519,0.420404
finetune,4,0.485239,0.600468,0.691676,0.480027,0.367908
finetune,5,0.460098,0.618763,0.654918,0.488696,0.391309
finetune,6,0.444241,0.631009,0.655443,0.494582,0.396033
finetune,7,0.438178,0.635302,0.650807,0.49606,0.399037
